product_name,product_price,product_rating,product_review,product_detailed_review,Sentiment
Bosch 60 L Room/Personal Air Cooler,3999,5,super!,This cooler is great. Excellent airflow and the price is amazing. Just love it.,positive
Bosch 60 L Room/Personal Air Cooler,3999,5,awesome,This is the best budget cooler. Nice cooling performance for the price.,positive
Bosch 60 L Room/Personal Air Cooler,3999,3,fair,The quality is good but the air power is only decent.,positive
Bosch 60 L Room/Personal Air Cooler,3999,1,useless product,Very bad product. It's just a fan,negative
Bosch 60 L Room/Personal Air Cooler,3999,3,fair,An okay product.,positive
Bosch 60 L Room/Personal Air Cooler,3999,5,awesome,This cooler is fantastic. Provides good airflow. Highly recommended.,positive
Bosch 60 L Room/Personal Air Cooler,3999,5,highly recommended,This is a very good product. Worth every penny.,positive
Bosch 60 L Room/Personal Air Cooler,3999,3,nice,This cooler is very nice and meets basic cooling needs.,positive
Bosch 60 L Room/Personal Air Cooler,3999,1,unsatisfactory,Very bad cooler. Did not meet my expectations at all.,negative
Bosch 60 L Room/Personal Air Cooler,3999,4,worth the money,This cooler is a decent product for the money.,positive
Bosch 60 L Room/Personal Air Cooler,3999,5,great product,Beautiful product. Good material and perfectly working.,positive
Bosch 60 L Room/Personal Air Cooler,3999,5,mind-blowing purchase,This cooler is simply awesome. A great purchase.,positive
Bosch 60 L Room/Personal Air Cooler,3999,5,highly recommended,Good product. Does its job well.,positive
Bosch 60 L Room/Personal Air Cooler,3999,5,brilliant,Wonderful product. Must buy for everyone.,positive
Bosch 60 L Room/Personal Air Cooler,3999,5,classy product,Nice air cooler. Smart cool breeze producer.,positive
Bosch 60 L Room/Personal Air Cooler,3999,5,must buy!,Awesome product. Works really well.,positive
Bosch 60 L Room/Personal Air Cooler,3999,5,fabulous!,Nice product with great performance.,positive
Bosch 60 L Room/Personal Air Cooler,3999,5,worth every penny,Great cooler for the price. Worth every penny.,positive
Bosch 60 L Room/Personal Air Cooler,3999,5,super!,Nice product. Very effective cooling.,positive
Bosch 60 L Room/Personal Air Cooler,3999,5,great product,Good product. Satisfied with its performance.,positive
MAHARAJA WHITELINE 65 L Desert Air Cooler,7999,5,wonderful,The best product I bought from Flipkart. Works superb.,positive
MAHARAJA WHITELINE 65 L Desert Air Cooler,7999,4,good quality product,Big and wide cooler. Maharaja brand is trustworthy. Good overall.,positive
MAHARAJA WHITELINE 65 L Desert Air Cooler,7999,5,awesome,One of the best air coolers at a reasonable price.,positive
MAHARAJA WHITELINE 65 L Desert Air Cooler,7999,5,excellent,Awesome air cooler. Fulfilled my requirement perfectly.,positive
MAHARAJA WHITELINE 65 L Desert Air Cooler,7999,5,great product,Best purchase after a lot of discussions and reviews.,positive
MAHARAJA WHITELINE 65 L Desert Air Cooler,7999,5,highly recommended,Very nice cooler. Cooling is very good. No noise.,positive
MAHARAJA WHITELINE 65 L Desert Air Cooler,7999,5,awesome,Feedback after using for one week. Cooler is amazing.,positive
MAHARAJA WHITELINE 65 L Desert Air Cooler,7999,3,decent product,Great deal for a 65 L cooler. Sufficient for one room.,positive
MAHARAJA WHITELINE 65 L Desert Air Cooler,7999,5,fabulous!,Bought on a heavy discount. Good quality material.,positive
MAHARAJA WHITELINE 65 L Desert Air Cooler,7999,3,very satisfactory,Well packed. Sturdy body. Relatively less noise.,positive
MAHARAJA WHITELINE 65 L Desert Air Cooler,7999,4,good quality product,Excellent product. Happy with the result. Nice air flow.,positive
MAHARAJA WHITELINE 65 L Desert Air Cooler,7999,5,mind-blowing purchase,Cooler works fine. It is also inverter friendly.,positive
MAHARAJA WHITELINE 65 L Desert Air Cooler,7999,1,waste of money!,Small wire and low motor capacity. Not worth it.,negative
MAHARAJA WHITELINE 65 L Desert Air Cooler,7999,5,must buy!,Perfect product for a large size room.,positive
MAHARAJA WHITELINE 65 L Desert Air Cooler,7999,4,good not best,Average cooling. Maharaja should work on its efficiency.,positive
MAHARAJA WHITELINE 65 L Desert Air Cooler,7999,5,must buy!,Amazing cooling capacity. A big thumbs up.,positive
MAHARAJA WHITELINE 65 L Desert Air Cooler,7999,4,does the job,Good cooler. Meets basic cooling requirements.,positive
MAHARAJA WHITELINE 65 L Desert Air Cooler,7999,3,nice,Received 10 days late. Cooler is okay but switch was damaged.,negative
MAHARAJA WHITELINE 65 L Desert Air Cooler,7999,4,worth the money,Big one. Working well. Hope it lasts long.,positive
MAHARAJA WHITELINE 65 L Desert Air Cooler,7999,4,pretty good,Good product. Nice air flow. Low noise.,positive
Crompton 75 L Desert Air Cooler,9999,5,simply awesome,Really worth every penny. Works like a one ton AC.,positive
Crompton 75 L Desert Air Cooler,9999,4,worth the money,A good desert cooler. Live up to the name.,positive
Crompton 75 L Desert Air Cooler,9999,5,worth every penny,Great packaging and product. Air throw is impressive.,positive
Crompton 75 L Desert Air Cooler,9999,5,fabulous!,Good air flow. Runs silently even at full speed.,positive
Crompton 75 L Desert Air Cooler,9999,5,super!,Crompton brand is reliable. This cooler does an excellent job.,positive
Crompton 75 L Desert Air Cooler,9999,5,terrific purchase,Great cooler at a great price. Highly recommended.,positive
Crompton 75 L Desert Air Cooler,9999,5,classy product,Awesome product. Keeps the room cool all day.,positive
Crompton 75 L Desert Air Cooler,9999,5,perfect product!,Great air throw. Low noise. Best cooling.,positive
Crompton 75 L Desert Air Cooler,9999,5,its not a cooler its ac cooler,Strong solid body. Gives very cool air. Feels like December.,positive
Crompton 75 L Desert Air Cooler,9999,5,wonderful,Very good quality product. Exceeded my expectations.,positive
Crompton 75 L Desert Air Cooler,9999,3,ok kind of cooler,Delivery was on time but the cooler isn't very effective.,positive
Crompton 75 L Desert Air Cooler,9999,1,don't waste your money,Water pump is not throwing enough water. Warm air.,negative
Crompton 75 L Desert Air Cooler,9999,5,worth every penny,Quality product. Easy to set up and use.,positive
Crompton 75 L Desert Air Cooler,9999,4,worth the money,Very nice product. Good and prompt delivery.,positive
Crompton 75 L Desert Air Cooler,9999,5,must buy!,Amazing product. Good air flow and no noise.,positive
Crompton 75 L Desert Air Cooler,9999,5,highly recommended,Must buy product for every household. Works flawlessly.,positive
Crompton 75 L Desert Air Cooler,9999,5,mind-blowing purchase,Fantastic cooler. I am very happy with it.,positive
Crompton 75 L Desert Air Cooler,9999,5,excellent,Best cooler for this price. Happy with it.,positive
Crompton 75 L Desert Air Cooler,9999,5,highly recommended,It is the best cooler. Air throw is strong and cool.,positive
Crompton 75 L Desert Air Cooler,9999,1,unsatisfactory,its vertical swing quality is bad when you set to upward then automatically it goes to down due to this air goes to down we cant set direction as we wantvertical swing is uselesswater filling opening box is too small when u fill with jug many water goes to outside cooler ice chamber is useless ice cube water goes to 88 liter chamber how some ice can cool 88 ltr ice chamber need to direct connect to honeycomb pad and slides that it cool instantlyit make some noise too during,negative
Aroma NB119 Titanium Bluetooth Neckband Bluetooth Headset,499,5,highly recommended,nice,positive
Aroma NB119 Titanium Bluetooth Neckband Bluetooth Headset,499,3,good,good,positive
Aroma NB119 Titanium Bluetooth Neckband Bluetooth Headset,499,5,wonderful,very good product,positive
Aroma NB119 Titanium Bluetooth Neckband Bluetooth Headset,499,5,worth every penny,nice product,positive
Aroma NB119 Titanium Bluetooth Neckband Bluetooth Headset,499,5,terrific,this neckband is very nice full bass,positive
Aroma NB119 Titanium Bluetooth Neckband Bluetooth Headset,499,5,just wow!,battery backup so good,positive
Aroma NB119 Titanium Bluetooth Neckband Bluetooth Headset,499,3,just okay,i am happy,positive
Aroma NB119 Titanium Bluetooth Neckband Bluetooth Headset,499,4,wonderful,good,positive
Aroma NB119 Titanium Bluetooth Neckband Bluetooth Headset,499,5,highly recommended,nice bird,positive
Aroma NB119 Titanium Bluetooth Neckband Bluetooth Headset,499,5,awesome,nice product,positive
Aroma NB119 Titanium Bluetooth Neckband Bluetooth Headset,499,5,worth every penny,good,positive
Aroma NB119 Titanium Bluetooth Neckband Bluetooth Headset,499,4,delightful,this productsounds quality goodbass quality lowbuild quality goodvalue for money yes,positive
Aroma NB119 Titanium Bluetooth Neckband Bluetooth Headset,499,5,excellent,battery good,positive
Aroma NB119 Titanium Bluetooth Neckband Bluetooth Headset,499,5,must buy!,the bast in prices value of money product,positive
Aroma NB119 Titanium Bluetooth Neckband Bluetooth Headset,499,5,mind-blowing purchase,super,positive
Aroma NB119 Titanium Bluetooth Neckband Bluetooth Headset,499,5,classy product,nice,positive
Aroma NB119 Titanium Bluetooth Neckband Bluetooth Headset,499,5,classy product,product is very nice,positive
